Beneficiary_ID,Gender,Age,District,State,Program_Name,Program_Date,Workshop_Hours,Program_Cost,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Improvement_Percentage,Employment_Status,Outcome_Status
B1001,Male,41,Roorkee,Uttarakhand,Digital Literacy,2025-05-27,4,3574,Completed,49,64,30.61,Employed,Improved
B1002,Male,34,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-10-31,6,3026,Completed,60,88,46.67,Employed,Improved
B1003,Male,32,Dehradun,Uttarakhand,Skill Development,2024-03-03,4,4941,Completed,52,77,48.08,Employed,Improved
B1004,Male,31,Nainital,Uttarakhand,Skill Development,2025-06-11,4,1689,Completed,45,62,37.78,Employed,Improved
B1005,Female,34,Dehradun,Uttarakhand,Digital Literacy,2024-08-25,6,4358,Completed,50,59,18.0,Employed,Not Improved
B1006,Male,35,Roorkee,Uttarakhand,Employment Readiness,2024-08-16,6,1998,Completed,20,33,65.0,Unemployed,Improved
B1007,Male,39,Roorkee,Uttarakhand,Skill Development,2024-11-20,4,3231,Completed,61,83,36.07,Employed,Improved
B1008,Female,20,Udham Singh Nagar,Uttarakhand,Skill Development,2025-05-11,8,1376,Completed,28,34,21.43,Unemployed,Improved
B1009,Male,27,Roorkee,Uttarakhand,Employment Readiness,2025-08-29,8,4422,Completed,42,78,85.71,Unemployed,Improved
B1010,Male,45,Haridwar,Uttarakhand,Employment Readiness,2025-11-07,8,2446,Completed,44,54,22.73,Unemployed,Improved
B1011,Male,22,Roorkee,Uttarakhand,Employment Readiness,2024-09-18,8,3910,Completed,38,72,89.47,Employed,Improved
B1012,Female,29,Haridwar,Uttarakhand,Digital Literacy,2024-01-15,6,4656,Completed,50,75,50.0,Unemployed,Improved
B1013,Female,20,Dehradun,Uttarakhand,Employment Readiness,2025-11-21,6,4079,Completed,29,54,86.21,Unemployed,Improved
B1014,Female,32,Roorkee,Uttarakhand,Digital Literacy,2024-04-10,4,4033,Completed,59,79,33.9,Unemployed,Improved
B1015,Female,25,Nainital,Uttarakhand,Employment Readiness,2025-07-29,8,3626,Completed,36,65,80.56,Unemployed,Improved
B1016,Female,41,Haridwar,Uttarakhand,Digital Literacy,2025-07-16,8,3313,Completed,42,64,52.38,Unemployed,Improved
B1017,Female,26,Dehradun,Uttarakhand,Digital Literacy,2024-02-05,4,1413,Completed,20,39,95.0,Unemployed,Improved
B1018,Female,41,Haridwar,Uttarakhand,Digital Literacy,2024-10-13,8,1147,Completed,61,96,57.38,Employed,Improved
B1019,Male,31,Nainital,Uttarakhand,Digital Literacy,2025-12-01,8,3712,Completed,33,57,72.73,Employed,Improved
B1020,Female,35,Nainital,Uttarakhand,Employment Readiness,2025-01-23,4,1141,Completed,29,38,31.03,Employed,Improved
B1021,Male,18,Nainital,Uttarakhand,Skill Development,2024-07-30,6,4485,Completed,67,75,11.94,Employed,Not Improved
B1022,Female,28,Haridwar,Uttarakhand,Digital Literacy,2024-10-31,4,3918,Completed,46,74,60.87,Unemployed,Improved
B1023,Female,28,Dehradun,Uttarakhand,Skill Development,2024-06-03,6,1931,Completed,26,40,53.85,Unemployed,Improved
B1024,Female,21,Dehradun,Uttarakhand,Digital Literacy,2024-11-30,8,4552,Completed,26,46,76.92,Employed,Improved
B1025,Female,39,Dehradun,Uttarakhand,Digital Literacy,2024-09-07,6,2807,Completed,64,97,51.56,Employed,Improved
B1026,Female,27,Haridwar,Uttarakhand,Employment Readiness,2025-03-18,6,1428,Completed,37,67,81.08,Employed,Improved
B1027,Female,22,Nainital,Uttarakhand,Employment Readiness,2025-07-06,6,2359,Completed,32,39,21.88,Unemployed,Improved
B1028,Male,35,Nainital,Uttarakhand,Skill Development,2024-05-23,4,3324,Completed,36,43,19.44,Employed,Not Improved
B1029,Male,38,Nainital,Uttarakhand,Digital Literacy,2024-01-25,4,2686,Completed,54,90,66.67,Unemployed,Improved
B1030,Female,43,Roorkee,Uttarakhand,Digital Literacy,2025-04-14,8,4688,Completed,34,62,82.35,Unemployed,Improved
